label,fiery,score,lon,lat,cloudHigh,cloudMid,cloudLow,cloudTotal,humidity,visibility,pressure,wind,precip,aod,pm25
1,0.7145,26,-157.9995,21.7058,0,0,0,0,,,,0,0,,
1,0.8650,52,-75.8061,45.365,0,0,0,0,64,26700,1019.4,5.8,0,,
0,0.0000,72,172.6082,-43.4645,0,0,0,0,50,,1007.2,24.9,0,,
1,0.7577,75,-157.9245,21.3332,100,43,13,100,76,24140,1013.6,13.2,0,0.11,4.2
1,0.3672,70,-76.9243,42.4997,0,0,0,0,68,25500,1013,7.7,0,,
1,0.1754,50,-155.2833,19.4241,0,3,49,49,85,14280,1016.6,23.3,0,,
0,0.0000,52,151.1055,-33.8805,0,3,5,7,73,24140,1020.4,5.4,0,0.05,4.9
0,0.0081,44,86.8317,27.9901,0,1,4,5,58,1860,1022.9,6.3,0,0.09,7.5
1,0.1484,74,-3.3162,52.1723,92,0,0,92,87,15320,1025.3,7.6,0,,
1,0.1738,45,-69.1914,44.0686,0,3,99,99,96,1000,1006.2,11.2,3.2,,
0,0.0000,49,7.2928,51.8444,0,0,88,88,63,,1018.2,9.8,0,,8.6
1,0.8222,32,15.691,50.7259,0,0,0,0,,,,0,0,,17.3
1,0.1515,28,30.4687,50.2631,0,0,0,0,,,,0,0,,
1,0.2058,69,102.4432,18.9223,78,11,0,86,89,,1003.4,4.8,0,,
0,0.0000,57,25.3673,37.0261,0,0,0,0,51,73080,1009.7,20.2,0,0.09,7.9
0,0.0000,57,25.3673,37.0261,0,0,0,0,51,73080,1009.7,20.2,0,0.09,7.9
1,0.6690,84,7.0281,47.2247,87,7,0,87,60,,1016.3,8.2,0,,23.7
1,0.1407,50,6.9274,46.4142,0,3,9,9,55,24140,1017.5,4.6,0,,
1,0.2681,50,23.7359,62.2363,97,0,87,76,93,,1016.8,12.2,0,0.01,0.9
0,0.0132,80,17.35,48.07,64,16,0,69,62,,1015,8.5,0,,18.3
0,0.0000,62,-120.8247,47.5077,0,0,0,0,53,35000,1008.2,9.3,0,0.32,21.9
0,0.0006,78,76.326,32.2031,10,1,0,11,54,17840,1007.1,2.9,0,0.27,21.7
0,0.0009,26,-3.8402,56.1671,0,0,0,0,,,,0,0,,1.6
0,0.0000,38,-4.8399,56.7756,52,0,95,97,97,,1017.9,4.6,0,,1
1,0.7780,62,87.1315,53.8995,88,93,0,96,59,,1006.7,14.8,0.1,,
0,0.0000,86,13.8476,51.4528,60,31,0,80,78,24140,1028.7,7.8,0,0.03,7.9
0,0.0000,71,13.8943,51.4637,18,79,46,88,76,23240,1008.9,7,0,0.3,5.5
0,0.0000,66,13.8482,51.4529,100,0,0,100,63,64340,1021.8,4.8,0,0.26,3.2
0,0.0047,44,7.4439,51.7763,0,0,0,0,77,,1022,10,0,,18.9
0,0.0031,66,19.0473,-33.6246,0,0,0,0,15,24140,1007.7,4.1,0,0.03,2.5
1,0.3136,50,6.777,51.4813,100,17,4,100,83,,1014.6,4.7,0,0.18,6.7
0,0.0003,68,11.731,54.1529,0,0,0,0,79,37440,1016.6,6.2,0,0.1,4.4
0,0.0008,61,7.324,51.795,0,0,12,12,87,50000,1026.1,4,0,0.23,28.4
0,0.0030,67,6.7798,51.4804,14,1,1,16,69,50000,1011.8,7.6,0,0.16,11
0,0.0020,49,7.0633,49.1451,14,43,18,57,93,,1010.4,6.4,0.1,,6.7
1,0.2005,78,126.6399,45.7477,49,24,0,55,54,,1007.4,13.9,0,,
